cod,mpio_name,ADO|EU/LWAL+DNO,CR+PC/LWAL+DUL,CR/LINF+DNO,CR/LINF+DUL,CR/LWAL+DUL,MATO/LN,MCF/LWAL+DNO,MCF/LWAL+DUL,MR/LWAL+DUL,MUR+ST/LWAL+DNO,MUR/LWAL+DNO,UNK,W+WO/LN+DNO
94001,Inírida,434.0,15.0,0.0,0.0,17.0,276.0,182.0,0.0,0.0,114.0,2211.0,695.0,1213.0
94343,Barranco Minas (ANM),6.0,3.0,0.0,0.0,0.0,67.0,1.0,0.0,0.0,1.0,38.0,47.0,518.0
94663,Mapiripana (ANM),0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,23.0,89.0
94883,San Felipe (ANM),19.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,3.0,98.0
94884,Puerto Colombia (ANM),20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,48.0
94885,La Guadalupe (ANM),5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0
94886,Cacahual (ANM),75.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,35.0,15.0
94887,Pana Pana (ANM),36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0
94888,Morichal (ANM),9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,41.0
99001,Puerto Carreño,17.0,13.0,0.0,0.0,37.0,329.0,268.0,0.0,0.0,143.0,2755.0,802.0,166.0
99524,La Primavera,58.0,16.0,0.0,0.0,4.0,134.0,74.0,0.0,0.0,88.0,1170.0,541.0,239.0
99624,Santa Rosalía,33.0,1.0,0.0,0.0,0.0,55.0,35.0,0.0,0.0,39.0,609.0,145.0,80.0
99773,Cumaribo,140.0,39.0,0.0,0.0,1.0,289.0,33.0,0.0,0.0,23.0,424.0,479.0,1861.0
