cod,mpio_name,ADO|EU/LWAL+DNO/H:1,"ADO|EU/LWAL+DNO/H:1,2",CR+PC/LWAL+DUL/H:1,"CR+PC/LWAL+DUL/H:1,2",CR/LINF+DNO/H:3,CR/LINF+DNO/H:4,CR/LINF+DNO/H:5,"CR/LINF+DNO/H:6,10",CR/LINF+DUL/H:3,CR/LINF+DUL/H:4,CR/LINF+DUL/H:5,"CR/LINF+DUL/H:6,10",CR/LWAL+DUL/H:1,CR/LWAL+DUL/H:2,MATO/LN,MCF/LWAL+DNO/H:1,MCF/LWAL+DNO/H:2,MCF/LWAL+DNO/H:3,MCF/LWAL+DUL/H:1,MCF/LWAL+DUL/H:2,MCF/LWAL+DUL/H:3,MR/LWAL+DUL/H:2,MR/LWAL+DUL/H:3,MR/LWAL+DUL/H:4,MR/LWAL+DUL/H:5,MR/LWAL+DUL/H:6,MUR+ST/LWAL+DNO/H:1,MUR+ST/LWAL+DNO/H:2,MUR/LWAL+DNO/H:1,MUR/LWAL+DNO/H:2,MUR/LWAL+DNO/H:3,UNK,W+WO/LN+DNO/H:1,"W+WO/LN+DNO/H:1,2"
94001,Inírida,310,124,4,11,0,0,0,0,0,0,0,0,11,6,276,127,55,0,0,0,0,0,0,0,0,0,80,34,1566,645,0,695,1192,21
94343,Barranco Minas (ANM),5,1,2,1,0,0,0,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,0,1,0,27,11,0,47,498,20
94663,Mapiripana (ANM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,23,86,3
94883,San Felipe (ANM),17,2,10,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,97,1
94884,Puerto Colombia (ANM),18,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,0
94885,La Guadalupe (ANM),4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,26,1
94886,Cacahual (ANM),40,35,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,35,15,0
94887,Pana Pana (ANM),35,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0
94888,Morichal (ANM),7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,41,0
99001,Puerto Carreño,10,7,2,11,0,0,0,0,0,0,0,0,24,13,329,192,76,0,0,0,0,0,0,0,0,0,102,41,1952,803,0,802,162,4
99524,La Primavera,30,28,2,14,0,0,0,0,0,0,0,0,3,1,134,51,23,0,0,0,0,0,0,0,0,0,73,15,869,301,0,541,236,3
99624,Santa Rosalía,22,11,0,1,0,0,0,0,0,0,0,0,0,0,55,24,11,0,0,0,0,0,0,0,0,0,29,10,438,171,0,145,80,0
99773,Cumaribo,106,34,25,14,0,0,0,0,0,0,0,0,1,0,289,22,11,0,0,0,0,0,0,0,0,0,18,5,306,118,0,479,1848,13
