Municipio,Material Pared,Material Piso,Tipo Vivienda,No. edificaciones,TPER,THOG,Departamento,COD,No. total edificaciones
001,Sin información,Sin información,Casa,579,0.0,0.0,94,94001,4585.0
001,Sin información,Sin información,Apartamento,42,0.0,0.0,94,94001,4585.0
001,Sin información,Sin información,Tipo Cuarto,7,0.0,0.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Mármol, parqué, madera pulida y lacada",Casa,22,86.0,30.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Mármol, parqué, madera pulida y lacada",Apartamento,3,9.0,6.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Mármol, parqué, madera pulida y lacada",Tipo Cuarto,4,4.0,4.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,598,2187.0,745.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,236,647.0,290.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,65,107.0,77.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,1224,5930.0,1748.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,145,528.0,191.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Tipo Cuarto,45,112.0,59.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablón, otro vegetal",Casa,12,42.0,14.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablón, otro vegetal",Apartamento,1,2.0,1.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablón, otro vegetal",Tipo Cuarto,2,2.0,2.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Casa,47,315.0,82.0,94,94001,4585.0
001,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Tipo Cuarto,1,1.0,1.0,94,94001,4585.0
001,Concreto vaciado,"Mármol, parqué, madera pulida y lacada",Apartamento,2,6.0,2.0,94,94001,4585.0
001,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,19,60.0,20.0,94,94001,4585.0
001,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,19,35.0,19.0,94,94001,4585.0
001,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,15,15.0,15.0,94,94001,4585.0
001,Concreto vaciado,Alfombra,Casa,1,1.0,1.0,94,94001,4585.0
001,Concreto vaciado,"Cemento, gravilla",Casa,27,143.0,38.0,94,94001,4585.0
001,Concreto vaciado,"Cemento, gravilla",Apartamento,4,9.0,4.0,94,94001,4585.0
001,Concreto vaciado,"Cemento, gravilla",Tipo Cuarto,1,1.0,1.0,94,94001,4585.0
001,Concreto vaciado,"Tierra, arena, barro",Casa,5,39.0,12.0,94,94001,4585.0
001,Material prefabricado,"Mármol, parqué, madera pulida y lacada",Casa,1,1.0,1.0,94,94001,4585.0
001,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,3,6.0,3.0,94,94001,4585.0
001,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,1,1.0,1.0,94,94001,4585.0
001,Material prefabricado,Alfombra,Apartamento,1,1.0,1.0,94,94001,4585.0
001,Material prefabricado,"Cemento, gravilla",Casa,3,10.0,4.0,94,94001,4585.0
