COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
5001,193801,20,18047,10,1815,56,1613,0,11314,2050
5002,687,1,46,2,5,1,13,0,435,1340
5004,169,0,34,0,1,0,6,0,71,24
5021,500,0,6,0,3,0,0,0,125,26
5030,3125,1,303,1,37,7,34,0,622,894
5031,2582,0,13,0,82,1,4,0,786,126
5034,3094,1,115,4,24,1,7,0,254,299
5036,568,0,15,0,9,1,6,0,113,192
5038,360,0,30,1,4,0,3,0,157,304
5040,1372,0,23,0,125,5,34,0,243,65
5042,2273,0,102,6,33,4,30,0,1057,1057
5044,466,1,16,0,3,0,4,0,90,37
5045,17331,0,937,2,1712,29,34,0,1428,18
5051,1869,5,31,1,962,2,8,0,436,6
5055,536,0,22,0,13,1,2,0,170,18
5059,363,0,6,0,1,0,3,0,114,28
5079,2152,1,261,1,32,1,6,0,94,63
5086,358,0,6,0,1,1,3,0,98,142
5088,47721,8,5969,2,1559,19,232,0,2450,202
5091,233,0,10,0,2,0,6,0,42,272
5093,791,1,62,0,7,0,9,0,181,294
5101,2100,1,58,1,3,0,11,0,377,962
5107,522,0,16,0,6,2,1,0,118,43
5113,215,0,9,0,12,0,4,0,77,269
5120,2966,35,59,4,771,84,8,0,814,9
5125,160,1,9,1,3,0,5,0,78,217
5129,7907,3,378,1,91,10,75,0,383,560
5134,390,0,19,0,2,1,1,0,115,199
5138,875,2,56,0,6,3,2,0,193,82
5142,396,0,82,1,4,0,0,0,47,6
5145,263,1,24,1,1,0,13,0,169,374
5147,7428,1,530,2,1023,11,14,0,1142,8
5148,5699,0,75,0,4,0,9,0,542,99
5150,410,1,20,0,1,0,3,0,209,415
5154,14095,13,669,3,2094,131,29,0,2225,15
5172,9595,2,775,3,777,14,48,0,1175,29
5190,997,0,31,2,10,0,3,0,173,245
5197,1109,0,438,0,3,0,0,0,482,15
5206,290,0,3,0,1,0,1,0,207,220
5209,1476,0,15,5,12,2,13,0,191,232
5212,6804,0,166,0,8,0,41,0,177,831
5234,2076,1,26,2,152,6,15,0,268,67
5237,1547,0,106,0,0,0,6,0,169,43
5240,563,1,10,0,1,0,0,0,131,185
5250,7359,3,116,1,1207,348,16,0,2588,10
5264,849,0,12,0,2,0,2,0,75,64
5266,16320,0,1269,1,4,0,54,0,799,65
5282,1434,1,13,0,9,3,12,0,246,398
5284,2245,1,31,0,51,1,8,0,349,114
5306,166,0,2,0,1,0,0,0,34,3
5308,3074,0,30,0,1,0,15,0,132,39
5310,887,0,16,0,2,0,4,0,382,392
5313,659,0,6,0,33,0,1,0,193,5
5315,331,1,5,1,1,0,2,0,96,243
5318,2659,0,119,1,11,1,27,0,230,35
5321,912,0,224,0,0,0,4,0,266,21
