COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
5001,715,0,46,0,53,0,8,0,93,13
5002,40,0,0,0,3,0,0,0,26,63
5004,47,0,0,0,11,0,1,0,9,6
5021,35,0,0,0,4,0,0,0,6,1
5030,51,0,9,0,0,0,1,0,55,28
5031,82,3,0,0,226,3,2,0,46,15
5034,113,0,1,0,8,4,0,0,19,5
5036,54,0,0,0,2,0,0,0,2,7
5038,38,0,0,1,1,0,1,0,16,80
5040,115,0,1,5,215,19,0,0,80,11
5042,39,0,0,0,0,0,4,0,79,90
5044,93,2,0,0,1,0,3,0,8,25
5045,137,0,4,0,168,1,4,0,3,5
5051,22,0,0,0,661,4,0,0,55,2
5055,36,0,0,0,12,0,0,0,4,1
5059,47,0,0,0,0,0,0,0,3,0
5079,191,0,7,0,0,0,1,0,12,8
5086,20,0,0,0,1,0,0,0,14,32
5088,382,0,9,0,17,3,2,0,21,5
5091,25,0,0,0,1,0,0,0,3,26
5093,54,0,0,0,1,1,0,0,21,57
5101,60,0,1,0,0,1,1,0,26,114
5107,75,0,0,1,11,0,0,0,22,30
5113,33,0,2,0,0,0,0,0,6,109
5120,96,9,1,0,720,45,3,0,50,1
5125,5,0,0,0,1,0,0,0,4,46
5129,172,0,3,0,4,0,7,0,12,32
5134,43,0,1,0,9,0,0,0,9,25
5138,159,2,5,0,2,0,0,0,25,162
5142,48,0,1,0,13,0,0,0,7,0
5145,4,0,0,0,0,0,0,0,2,9
5147,236,0,4,0,165,4,2,0,47,0
5148,162,0,3,0,6,1,0,0,21,14
5150,9,0,0,0,0,0,0,0,2,2
5154,115,6,4,1,202,11,2,0,64,1
5172,189,1,2,0,273,11,0,0,30,2
5190,27,0,1,0,0,0,1,0,9,0
5197,88,0,1,0,3,0,0,0,14,7
5206,32,0,0,0,0,0,0,0,6,6
5209,73,0,0,0,5,0,0,0,7,6
5212,79,0,4,0,1,0,3,0,7,51
5234,120,1,0,1,180,38,11,4,17,13
5237,33,0,1,0,0,0,0,0,1,2
5240,43,1,0,0,0,0,0,0,7,11
5250,96,6,5,0,511,86,0,0,122,0
5264,48,0,0,0,1,0,2,0,7,2
5266,129,0,8,0,0,0,4,0,13,0
5282,79,1,2,0,0,0,1,0,1,24
5284,70,1,2,1,124,5,0,3,5,5
5306,38,0,0,0,0,0,0,0,0,1
5308,132,0,1,0,0,0,0,0,5,7
5310,94,0,0,0,5,1,2,0,30,23
5313,40,0,1,0,0,0,0,0,7,1
5315,44,0,0,0,1,0,0,0,4,24
5318,166,0,3,0,2,0,4,0,20,6
5321,23,0,0,0,1,0,0,0,4,0
5347,31,0,0,0,0,0,0,0,16,13
5353,18,0,0,0,0,0,0,0,3,0
5360,50,0,6,0,0,0,0,0,1,0
5361,58,0,3,0,118,18,14,0,47,89
5364,173,5,1,1,7,0,1,0,6,6
5368,36,0,1,0,0,0,0,0,16,2
5376,142,0,1,0,1,0,2,0,80,1
5380,129,0,12,0,0,0,0,0,0,1
5390,20,0,8,2,1,1,0,0,1,0
5400,53,0,1,0,0,0,0,0,3,1
5411,56,0,0,0,0,0,0,0,20,50
5425,64,0,1,0,6,0,0,0,9,2
5440,61,0,1,0,0,0,0,0,4,2
5467,28,0,0,0,0,0,0,0,3,1
5475,1,6,0,0,72,1,0,40,21,0
5480,69,4,3,0,271,6,3,0,130,1
5483,106,1,8,0,12,0,0,0,25,0
5490,110,15,4,1,683,24,0,0,119,0
5495,51,0,12,1,373,20,0,0,30,1
5501,37,0,9,0,1,0,4,0,37,34
5541,45,0,0,0,1,0,0,0,42,4
5543,15,0,1,0,8,0,0,0,18,88
5576,10,0,0,0,1,0,0,0,2,12
5579,153,2,8,0,84,2,4,0,44,2
5585,105,0,0,0,65,2,0,0,30,2
5591,109,1,3,0,33,0,3,0,20,0
5604,175,0,0,0,370,9,2,0,140,3
5607,163,0,1,0,2,0,3,0,47,0
5615,355,0,20,0,2,0,17,0,5,9
5628,32,0,7,0,0,1,0,0,11,65
