Cod,Departamento,Edificaciones C. Municipal,Edificaciones C. Poblado,Edificaciones Rural Disperso y Resto,Personas C. Municipal,Personas C. Poblado,Personas Rural Disperso y Resto,Total edificaciones,Total personas
05001,5.0,223527.0,5199.0,928.0,2319057.0,19983.0,19520.0,229654.0,2358560.0
05002,5.0,2395.0,135.0,132.0,6923.0,437.0,10202.0,2662.0,17562.0
05004,5.0,278.0,27.0,74.0,706.0,90.0,1343.0,379.0,2139.0
05021,5.0,660.0,0.0,46.0,2201.0,0.0,1624.0,706.0,3825.0
05030,5.0,2613.0,2411.0,144.0,12938.0,8082.0,5655.0,5168.0,26675.0
05031,5.0,3541.0,53.0,377.0,11538.0,212.0,8026.0,3971.0,19776.0
05034,5.0,2863.0,936.0,150.0,18095.0,3426.0,15349.0,3949.0,36870.0
05036,5.0,564.0,340.0,65.0,1962.0,975.0,2073.0,969.0,5010.0
05038,5.0,735.0,124.0,137.0,2369.0,393.0,7731.0,996.0,10493.0
05040,5.0,1708.0,159.0,446.0,7031.0,596.0,6822.0,2313.0,14449.0
05042,5.0,4393.0,169.0,212.0,15261.0,698.0,6984.0,4774.0,22943.0
05044,5.0,352.0,265.0,132.0,1180.0,802.0,4400.0,749.0,6382.0
05045,5.0,18332.0,3159.0,322.0,91683.0,13370.0,6959.0,21813.0,112012.0
05051,5.0,2524.0,796.0,744.0,9609.0,2514.0,14139.0,4064.0,26262.0
05055,5.0,762.0,0.0,53.0,2973.0,0.0,3752.0,815.0,6725.0
05059,5.0,411.0,104.0,50.0,1359.0,264.0,2194.0,565.0,3817.0
05079,5.0,2038.0,573.0,219.0,21465.0,5506.0,17636.0,2830.0,44607.0
05086,5.0,513.0,96.0,67.0,1602.0,266.0,3481.0,676.0,5349.0
05088,5.0,55933.0,2229.0,439.0,456677.0,12296.0,8449.0,58601.0,477422.0
05091,5.0,551.0,14.0,55.0,3400.0,94.0,5094.0,620.0,8588.0
05093,5.0,1009.0,336.0,134.0,4163.0,990.0,9909.0,1479.0,15062.0
05101,5.0,3000.0,513.0,203.0,14484.0,1469.0,7093.0,3716.0,23046.0
05107,5.0,576.0,132.0,139.0,2444.0,329.0,3157.0,847.0,5930.0
05113,5.0,440.0,146.0,150.0,2033.0,544.0,4789.0,736.0,7366.0
05120,5.0,1503.0,3247.0,925.0,5244.0,12097.0,8760.0,5675.0,26101.0
05125,5.0,474.0,0.0,56.0,1507.0,0.0,5507.0,530.0,7014.0
05129,5.0,7254.0,2154.0,230.0,61426.0,10044.0,4479.0,9638.0,75949.0
05134,5.0,565.0,162.0,87.0,2334.0,490.0,4572.0,814.0,7396.0
05138,5.0,872.0,347.0,355.0,4729.0,968.0,7825.0,1574.0,13522.0
05142,5.0,536.0,0.0,69.0,2430.0,0.0,1523.0,605.0,3953.0
05145,5.0,755.0,91.0,15.0,1941.0,279.0,2044.0,861.0,4264.0
05147,5.0,8349.0,1810.0,458.0,31604.0,6623.0,7037.0,10617.0,45264.0
05148,5.0,6044.0,384.0,207.0,32881.0,1419.0,19305.0,6635.0,53605.0
05150,5.0,1059.0,0.0,13.0,2618.0,0.0,700.0,1072.0,3318.0
05154,5.0,17935.0,1339.0,406.0,74013.0,5309.0,4810.0,19680.0,84132.0
05172,5.0,12034.0,384.0,508.0,46533.0,1243.0,6240.0,12926.0,54016.0
05190,5.0,1461.0,0.0,38.0,7688.0,0.0,1203.0,1499.0,8891.0
05197,5.0,1875.0,172.0,113.0,5916.0,499.0,8270.0,2160.0,14685.0
05206,5.0,722.0,0.0,44.0,1752.0,0.0,2148.0,766.0,3900.0
05209,5.0,1709.0,237.0,91.0,6804.0,688.0,8566.0,2037.0,16058.0
05212,5.0,7815.0,212.0,145.0,62011.0,968.0,13005.0,8172.0,75984.0
05234,5.0,2433.0,180.0,385.0,8831.0,696.0,9536.0,2998.0,19063.0
05237,5.0,1727.0,144.0,37.0,11025.0,268.0,2865.0,1908.0,14158.0
05240,5.0,624.0,267.0,62.0,1816.0,1238.0,7234.0,953.0,10288.0
05250,5.0,8775.0,2873.0,826.0,29419.0,9505.0,8344.0,12474.0,47268.0
05264,5.0,1004.0,0.0,60.0,5088.0,0.0,3688.0,1064.0,8776.0
05266,5.0,17993.0,519.0,154.0,201845.0,1731.0,7947.0,18666.0,211523.0
05282,5.0,1788.0,328.0,108.0,7681.0,1106.0,9947.0,2224.0,18734.0
05284,5.0,2387.0,413.0,216.0,8010.0,1426.0,7269.0,3016.0,16705.0
05306,5.0,178.0,28.0,39.0,1850.0,273.0,2932.0,245.0,5055.0
05308,5.0,2365.0,926.0,145.0,27882.0,6540.0,13848.0,3436.0,48270.0
05310,5.0,1475.0,208.0,155.0,4239.0,539.0,3433.0,1838.0,8211.0
05313,5.0,794.0,103.0,49.0,5229.0,180.0,3679.0,946.0,9088.0
05315,5.0,601.0,79.0,73.0,2124.0,379.0,2932.0,753.0,5435.0
05318,5.0,2820.0,263.0,201.0,17346.0,972.0,23695.0,3284.0,42013.0
05321,5.0,1231.0,196.0,28.0,5207.0,452.0,1333.0,1455.0,6992.0
05347,5.0,791.0,325.0,60.0,2078.0,671.0,1953.0,1176.0,4702.0
05353,5.0,695.0,0.0,21.0,3303.0,0.0,1647.0,716.0,4950.0
05360,5.0,27322.0,3036.0,57.0,234847.0,22498.0,4130.0,30415.0,261475.0
05361,5.0,1852.0,756.0,347.0,6502.0,1945.0,9951.0,2955.0,18398.0
05364,5.0,1987.0,85.0,200.0,7064.0,346.0,6025.0,2272.0,13435.0
05368,5.0,1799.0,54.0,55.0,6814.0,247.0,3984.0,1908.0,11045.0
05376,5.0,10340.0,338.0,227.0,51345.0,1179.0,6248.0,10905.0,58772.0
05380,5.0,8259.0,768.0,142.0,57441.0,3289.0,6251.0,9169.0,66981.0
05390,5.0,1634.0,74.0,33.0,7046.0,421.0,497.0,1741.0,7964.0
05400,5.0,2436.0,228.0,58.0,12550.0,716.0,7465.0,2722.0,20731.0
05411,5.0,732.0,816.0,126.0,2207.0,1813.0,3872.0,1674.0,7892.0
05425,5.0,805.0,180.0,82.0,2968.0,987.0,3323.0,1067.0,7278.0
05440,5.0,5773.0,0.0,68.0,40810.0,0.0,14401.0,5841.0,55211.0
05467,5.0,480.0,79.0,32.0,1649.0,171.0,4061.0,591.0,5881.0
05475,5.0,437.0,106.0,141.0,1553.0,647.0,870.0,684.0,3070.0
05480,5.0,1544.0,939.0,487.0,4936.0,2528.0,3574.0,2970.0,11038.0
05483,5.0,729.0,216.0,152.0,2741.0,591.0,5267.0,1097.0,8599.0
05490,5.0,2663.0,3250.0,956.0,9936.0,10487.0,17109.0,6869.0,37532.0
05495,5.0,2793.0,977.0,488.0,12960.0,4097.0,6743.0,4258.0,23800.0
05501,5.0,78.0,365.0,122.0,185.0,929.0,1605.0,565.0,2719.0
05541,5.0,2522.0,0.0,92.0,10998.0,0.0,6989.0,2614.0,17987.0
05543,5.0,605.0,156.0,130.0,2080.0,414.0,4644.0,891.0,7138.0
05576,5.0,1135.0,0.0,25.0,3803.0,0.0,3374.0,1160.0,7177.0
05579,5.0,7641.0,785.0,299.0,30987.0,2087.0,2692.0,8725.0,35766.0
05585,5.0,1467.0,2128.0,204.0,3859.0,5998.0,2264.0,3799.0,12121.0
05591,5.0,889.0,2897.0,169.0,2831.0,10380.0,2243.0,3955.0,15454.0
05604,5.0,2855.0,1494.0,699.0,11105.0,4125.0,7221.0,5048.0,22451.0
05607,5.0,2342.0,191.0,216.0,12168.0,984.0,7413.0,2749.0,20565.0
05615,5.0,14397.0,971.0,408.0,77168.0,6131.0,31474.0,15776.0,114773.0
05628,5.0,688.0,216.0,116.0,2853.0,784.0,4170.0,1020.0,7807.0
05631,5.0,5321.0,1282.0,71.0,69953.0,7914.0,3730.0,6674.0,81597.0
05642,5.0,1261.0,228.0,108.0,5809.0,1592.0,8301.0,1597.0,15702.0
05647,5.0,891.0,0.0,65.0,2681.0,0.0,3599.0,956.0,6280.0
05649,5.0,1618.0,344.0,196.0,7017.0,1483.0,5860.0,2158.0,14360.0
05652,5.0,836.0,376.0,143.0,2424.0,550.0,2248.0,1355.0,5222.0
05656,5.0,2170.0,0.0,105.0,6494.0,0.0,6621.0,2275.0,13115.0
05658,5.0,611.0,0.0,14.0,2111.0,0.0,820.0,625.0,2931.0
05659,5.0,2064.0,828.0,197.0,6624.0,2710.0,10641.0,3089.0,19975.0
05660,5.0,1612.0,207.0,102.0,6613.0,680.0,3802.0,1921.0,11095.0
05664,5.0,1772.0,76.0,101.0,10476.0,216.0,6324.0,1949.0,17016.0
05665,5.0,3757.0,221.0,284.0,11993.0,975.0,16888.0,4262.0,29856.0
05667,5.0,1891.0,11.0,186.0,7202.0,5.0,5344.0,2088.0,12551.0
05670,5.0,1528.0,1313.0,434.0,6127.0,3575.0,8022.0,3275.0,17724.0
05674,5.0,669.0,29.0,59.0,5297.0,55.0,12632.0,757.0,17984.0
05679,5.0,1894.0,720.0,59.0,10166.0,2271.0,9380.0,2673.0,21817.0
05686,5.0,1901.0,635.0,249.0,16423.0,1152.0,12767.0,2785.0,30342.0
05690,5.0,905.0,635.0,144.0,2397.0,2056.0,5049.0,1684.0,9502.0
05697,5.0,3284.0,0.0,18.0,23204.0,0.0,7036.0,3302.0,30240.0
05736,5.0,6509.0,832.0,1150.0,27176.0,2155.0,3925.0,8491.0,33256.0
05756,5.0,4336.0,1336.0,427.0,15719.0,4040.0,11825.0,6099.0,31584.0
05761,5.0,1880.0,317.0,194.0,6425.0,656.0,6606.0,2391.0,13687.0
05789,5.0,1875.0,529.0,110.0,6703.0,1580.0,6526.0,2514.0,14809.0
