COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
5001,2128325,55,180053,20,8104,234,7266,0,0,14983
5002,2378,1,128,2,21,4,34,0,0,4792
5004,586,0,128,0,1,0,8,0,0,73
5021,2118,0,11,0,6,0,0,0,0,66
5030,16041,1,1275,1,133,13,115,0,0,3441
5031,11015,0,32,0,287,5,9,0,0,402
5034,19492,3,513,8,71,1,17,0,0,1416
5036,2225,0,41,0,22,3,16,0,0,630
5038,1546,0,132,2,11,0,8,0,0,1063
5040,6646,0,75,0,550,21,129,0,0,206
5042,11116,0,285,18,121,8,97,0,0,4314
5044,1763,4,61,0,12,0,16,0,0,126
5045,92306,0,4265,3,8194,141,86,0,0,58
5051,8000,22,74,1,3973,13,19,0,0,21
5055,2829,0,70,0,26,2,2,0,0,44
5059,1509,0,10,0,7,0,6,0,0,91
5079,23702,2,2352,4,210,6,19,0,0,676
5086,1325,0,21,0,2,1,9,0,0,510
5088,407673,22,50793,5,8022,55,1381,0,0,1022
5091,1313,0,31,0,6,0,92,0,0,2052
5093,3646,1,202,0,22,0,26,0,0,1256
5101,10390,3,578,6,8,0,28,0,0,4940
5107,2536,0,36,0,30,8,1,0,0,162
5113,1127,0,24,0,53,0,41,0,0,1332
5120,13064,132,214,18,3496,360,31,0,0,26
5125,575,5,26,1,8,0,15,0,0,877
5129,62918,10,3958,1,318,31,289,0,0,3945
5134,1879,0,148,0,10,3,4,0,0,780
5138,5154,7,274,0,12,4,4,0,0,242
5142,2112,0,303,1,7,0,0,0,0,7
5145,861,1,74,4,2,0,35,0,0,1243
5147,31794,1,2076,10,4267,36,24,0,0,19
5148,33548,0,310,0,11,0,31,0,0,400
5150,1360,1,71,0,2,0,5,0,0,1179
5154,66457,39,2647,18,9443,599,69,0,0,50
5172,40494,6,3159,5,3738,69,155,0,0,150
5190,5716,0,303,5,146,0,81,0,0,1437
5197,4473,0,1883,0,4,0,0,0,0,55
5206,1111,0,6,0,3,0,2,0,0,630
5209,6520,0,42,21,48,3,41,0,0,817
5212,55802,0,1321,0,41,0,151,0,0,5664
5234,8336,4,276,6,544,22,49,0,0,290
5237,10438,0,657,0,0,0,25,0,0,173
5240,2501,1,17,0,2,0,0,0,0,533
5250,31727,11,364,7,5306,1417,54,0,0,38
5264,4834,0,30,0,6,0,7,0,0,211
5266,192383,0,10756,2,12,0,145,0,0,278
5282,6654,1,52,0,36,9,30,0,0,2005
5284,8696,1,67,0,259,4,29,0,0,380
5306,2108,0,4,0,4,0,0,0,0,7
5308,33991,0,185,0,5,0,41,0,0,200
5310,3351,0,37,0,2,0,14,0,0,1374
5313,5245,0,16,0,135,0,3,0,0,10
5315,1514,1,18,1,3,0,6,0,0,960
5318,17605,0,474,1,31,1,75,0,0,131
5321,4626,0,962,0,0,0,13,0,0,58
5347,1356,0,36,0,11,7,6,0,0,1333
5353,3271,0,9,0,0,0,1,0,0,22
5360,245034,1,8056,11,686,8,190,0,0,3359
5361,5077,10,262,2,163,43,8,0,0,2882
5364,5520,16,1752,0,35,0,3,0,0,84
5368,6001,4,68,0,6,0,93,0,0,889
5376,46537,0,4508,0,21,3,39,0,0,1416
5380,55090,0,3218,0,94,4,148,0,0,2176
5390,6829,60,470,44,14,4,22,0,0,24
5400,9269,0,3841,0,5,0,26,0,0,125
5411,3066,0,119,0,0,0,4,0,0,831
5425,2799,0,776,0,84,0,15,0,0,281
5440,29037,4,10794,0,41,4,23,0,0,907
5467,1647,2,15,0,3,1,1,0,0,151
5475,68,0,6,0,2104,2,7,0,0,13
5480,4291,0,152,1,2882,40,86,0,0,12
5483,3183,0,129,1,3,2,9,0,0,5
5490,12624,98,817,8,6541,213,61,0,0,61
5495,10593,82,524,0,5078,420,207,0,0,153
5501,544,1,242,0,38,1,4,0,0,284
5541,9688,0,996,11,12,0,13,0,0,278
5543,2313,0,17,0,12,0,7,0,0,145
5576,3591,4,19,27,0,0,0,0,0,162
5579,27109,10,940,18,4865,37,39,0,0,56
5585,8929,1,111,2,660,9,138,0,0,7
5591,12185,0,254,0,525,31,204,0,0,12
5604,13535,6,57,0,1493,58,14,0,0,67
