COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
5001,19000,0,103,0,308,0,24,0,0,85
5002,2431,0,0,0,10,0,0,0,0,7761
5004,1107,0,0,0,162,0,2,0,0,72
5021,1606,0,0,0,14,0,0,0,0,4
5030,5256,0,40,0,0,0,4,0,0,355
5031,3543,8,0,0,4269,22,4,0,0,180
5034,15218,0,3,0,65,18,0,0,0,45
5036,1949,0,0,0,5,0,0,0,0,119
5038,1022,0,0,8,2,0,5,0,0,6694
5040,2687,0,2,17,3659,78,0,0,0,379
5042,1448,0,0,0,0,0,12,0,0,5524
5044,4126,7,0,0,5,0,14,0,0,248
5045,2157,0,25,0,4755,3,6,0,0,13
5051,356,0,0,0,13762,10,0,0,0,11
5055,3585,0,0,0,165,0,0,0,0,2
5059,2194,0,0,0,0,0,0,0,0,0
5079,17546,0,67,0,0,0,8,0,0,15
5086,279,0,0,0,6,0,0,0,0,3196
5088,8258,0,22,0,135,11,10,0,0,13
5091,2836,0,0,0,3,0,0,0,0,2255
5093,1915,0,0,0,3,4,0,0,0,7987
5101,1727,0,2,0,0,3,5,0,0,5356
5107,2271,0,0,1,156,0,0,0,0,729
5113,531,0,7,0,0,0,0,0,0,4251
5120,1946,33,2,0,6565,205,3,0,0,6
5125,19,0,0,0,1,0,0,0,0,5487
5129,3514,0,16,0,8,0,23,0,0,918
5134,1946,0,5,0,153,0,0,0,0,2468
5138,2599,27,16,0,2,0,0,0,0,5181
5142,1359,0,1,0,163,0,0,0,0,0
5145,75,0,0,0,0,0,0,0,0,1969
5147,4195,0,7,0,2817,13,5,0,0,0
5148,19052,0,14,0,139,1,0,0,0,99
5150,672,0,0,0,0,0,0,0,0,28
5154,1143,33,12,1,3506,109,2,0,0,4
5172,3529,2,5,0,2652,40,0,0,0,12
5190,1197,0,4,0,0,0,2,0,0,0
5197,7917,0,7,0,264,0,0,0,0,82
5206,1437,0,0,0,0,0,0,0,0,711
5209,8507,0,0,0,29,0,0,0,0,30
5212,6784,0,15,0,9,0,8,0,0,6189
5234,3726,2,0,1,5148,342,141,16,0,160
5237,2849,0,2,0,0,0,0,0,0,14
5240,7168,1,0,0,0,0,0,0,0,65
5250,841,38,27,0,7083,355,0,0,0,0
5264,3663,0,0,0,2,0,9,0,0,14
5266,7923,0,16,0,0,0,8,0,0,0
5282,9549,6,10,0,0,0,1,0,0,381
5284,5925,3,5,6,1258,20,0,18,0,34
5306,2924,0,0,0,0,0,0,0,0,8
5308,13751,0,3,0,0,0,0,0,0,94
5310,2745,0,0,0,25,2,3,0,0,658
5313,3670,0,1,0,0,0,0,0,0,8
5315,1219,0,0,0,1,0,0,0,0,1712
5318,23601,0,3,0,7,0,22,0,0,62
5321,1330,0,0,0,3,0,0,0,0,0
5347,1532,0,0,0,0,0,0,0,0,421
5353,1647,0,0,0,0,0,0,0,0,0
5360,4103,0,27,0,0,0,0,0,0,0
5361,719,0,13,0,3439,71,82,0,0,5627
5364,5876,23,5,14,63,0,1,0,0,43
5368,3979,0,1,0,0,0,0,0,0,4
5376,6228,0,2,0,12,0,2,0,0,4
5380,6106,0,142,0,0,0,0,0,0,3
5390,416,0,72,6,2,1,0,0,0,0
5400,7454,0,8,0,0,0,0,0,0,3
5411,2280,0,0,0,0,0,0,0,0,1592
5425,3165,0,1,0,128,0,0,0,0,29
5440,14391,0,4,0,0,0,0,0,0,6
5467,4059,0,0,0,0,0,0,0,0,2
5475,1,46,0,0,551,1,0,271,0,0
5480,859,12,10,0,2634,25,27,0,0,7
5483,5069,7,32,0,159,0,0,0,0,0
5490,784,73,25,18,16109,100,0,0,0,0
5495,456,0,56,3,6170,54,0,0,0,4
5501,312,0,46,0,9,0,17,0,0,1221
5541,6933,0,0,0,5,0,0,0,0,51
5543,160,0,18,0,107,0,0,0,0,4359
5576,493,0,0,0,4,0,0,0,0,2877
5579,1908,10,22,0,733,5,5,0,0,9
5585,1409,0,0,0,836,5,0,0,0,14
5591,2041,2,7,0,180,0,13,0,0,0
5604,2925,0,0,0,4207,56,21,0,0,12
5607,7373,0,1,0,19,0,20,0,0,0
5615,30608,0,28,0,8,0,42,0,0,788
5628,790,0,37,0,0,1,0,0,0,3342
5631,3712,0,16,0,0,0,2,0,0,0
5642,8229,4,4,0,4,0,3,0,0,57
5647,3243,0,0,0,52,0,0,0,0,304
5649,5597,0,0,2,245,14,1,0,0,1
5652,1534,0,183,0,531,0,0,0,0,0
5656,4261,5,4,0,0,0,5,0,0,2346
5658,812,0,0,0,0,0,0,0,0,8
5659,126,3,8,20,10449,4,31,0,0,0
5660,3578,0,0,0,215,0,9,0,0,0
5664,5312,0,7,0,0,0,13,0,0,992
5665,758,4,14,0,16112,0,0,0,0,0
5667,5165,0,6,0,4,0,0,0,0,169
5670,6859,0,0,0,314,7,1,0,0,841
5674,4154,0,0,0,0,0,10,0,0,8468
5679,4791,0,3,0,0,0,0,0,0,4586
5686,11566,0,4,0,9,0,10,0,0,1178
5690,2580,0,0,0,1,4,0,0,0,2464
5697,7036,0,0,0,0,0,0,0,0,0
5736,449,36,20,0,3225,142,1,0,0,52
5756,5349,7,39,0,2052,0,33,0,0,4345
5761,5201,0,0,1,3,0,0,0,0,1401
5789,5841,0,1,0,18,3,0,0,0,663
5790,1421,2,9,0,1843,28,13,0,0,2
5792,2159,0,0,0,0,0,0,0,0,0
5809,3251,0,12,0,0,0,0,0,0,26
5819,257,0,8,0,0,0,2,0,0,2646
5837,2691,93,59,1,18888,85,29,0,0,6
5842,3843,0,0,0,303,0,0,0,0,58
5847,9422,26,1,0,2553,7,4,3,0,5
5854,6364,0,4,0,192,4,0,0,0,0
5856,2130,0,71,0,0,0,0,0,0,18
5858,1394,0,6,0,1415,4,0,0,0,57
5861,2398,0,0,0,0,0,0,0,0,17
5873,76,2,1,0,1746,1,0,0,0,0
5885,1597,0,0,0,925,8,0,0,0,545
5887,6085,0,72,0,73,6,22,0,0,561
5890,9564,0,0,0,356,0,5,0,0,1147
5893,2676,13,0,0,2655,6,0,0,0,0
5895,514,2,9,0,8760,834,45,0,0,2
8001,573,0,10,0,117,21,13,0,0,1
8078,1870,30,3,0,18,105,6,0,0,4
8137,456,0,0,0,0,7,0,0,0,13
8141,343,0,0,0,0,0,0,0,0,10
8296,2627,0,0,0,2,0,0,0,0,0
8372,1901,0,0,0,0,0,0,0,0,0
8421,720,0,0,0,0,0,8,0,0,13
8433,2646,0,10,0,177,0,3,0,0,0
8436,750,0,8,0,0,0,0,0,0,0
8520,613,0,0,0,5,5,0,0,0,0
8549,1040,0,0,0,34,4,0,0,0,1
8558,1300,0,0,0,0,16,0,0,0,0
8560,1019,4,0,0,27,29,0,0,0,4
8573,803,0,0,0,23,7,3,0,0,33
8606,280,0,60,0,112,0,0,0,0,133
8634,1360,0,0,0,0,0,0,0,0,0
8638,2963,185,2,0,525,54,0,0,0,91
8675,243,0,0,0,0,54,0,0,0,0
8685,1241,0,0,0,0,0,0,0,0,0
8758,842,0,0,0,11,0,0,0,0,0
8770,432,0,0,0,0,0,0,0,0,0
8832,2729,4,0,0,29,24,0,0,0,8
8849,543,0,0,0,0,4,0,0,0,0
11001,11792,1,89,1,494,61,34,0,0,35
13001,4070,82,188,0,1314,195,62,0,0,10
13006,1924,6,2,7,6602,21,11,0,0,89
13030,147,24,110,1,3805,12,0,0,0,15
13042,194,16,0,0,881,6,2,0,0,0
13052,2048,2,1,2,185,9,1,0,0,6
13062,313,0,0,0,7,1,0,0,0,8
13074,2576,125,2,75,3112,39,0,0,0,159
13140,310,2,0,0,9,0,0,0,0,15
13160,191,0,0,0,1840,21,0,0,0,12
13188,373,0,0,0,44,43,0,0,0,3
13212,602,0,0,5,9,2,8,0,0,541
13222,385,380,0,0,186,0,0,0,0,65
13244,1363,239,8,0,2760,101,13,0,0,6758
13248,163,0,4,0,67,0,0,0,0,14
13268,607,7,6,0,912,13,0,0,0,9
13300,705,82,0,0,629,0,0,0,0,29
13430,3880,119,17,1,520,55,105,0,0,53
13433,1757,0,3,0,141,3,132,0,0,232
13440,2139,19,5,0,667,9,13,0,0,293
13442,2888,197,0,0,131,348,0,0,0,20
13458,166,12,35,0,6987,23,20,0,0,3
13468,2064,3,904,137,499,0,98,0,0,286
13473,998,13,16,33,7983,41,32,0,0,19
13490,293,0,0,0,4263,100,0,0,0,1
13549,2108,334,7,0,4182,679,33,0,0,0
13580,177,0,125,0,205,0,1,0,0,0
13600,560,14,0,7,1684,0,0,0,0,35
13620,129,0,0,0,0,0,0,0,0,0
