Cod,Departamento,Edificaciones C. Municipal,Edificaciones C. Poblado,Edificaciones Rural Disperso y Resto,Personas C. Municipal,Personas C. Poblado,Personas Rural Disperso y Resto,Total edificaciones,Total personas,Población urbana,Edificaciones urbanas
5001,5,223527,5199,928,2319057,19983,19520,229654,2358560,2339040,228726
5002,5,2395,135,132,6923,437,10202,2662,17562,7360,2530
5004,5,278,27,74,706,90,1343,379,2139,796,305
5021,5,660,0,46,2201,0,1624,706,3825,2201,660
5030,5,2613,2411,144,12938,8082,5655,5168,26675,21020,5024
5031,5,3541,53,377,11538,212,8026,3971,19776,11750,3594
5034,5,2863,936,150,18095,3426,15349,3949,36870,21521,3799
5036,5,564,340,65,1962,975,2073,969,5010,2937,904
5038,5,735,124,137,2369,393,7731,996,10493,2762,859
5040,5,1708,159,446,7031,596,6822,2313,14449,7627,1867
5042,5,4393,169,212,15261,698,6984,4774,22943,15959,4562
5044,5,352,265,132,1180,802,4400,749,6382,1982,617
5045,5,18332,3159,322,91683,13370,6959,21813,112012,105053,21491
5051,5,2524,796,744,9609,2514,14139,4064,26262,12123,3320
5055,5,762,0,53,2973,0,3752,815,6725,2973,762
5059,5,411,104,50,1359,264,2194,565,3817,1623,515
5079,5,2038,573,219,21465,5506,17636,2830,44607,26971,2611
5086,5,513,96,67,1602,266,3481,676,5349,1868,609
5088,5,55933,2229,439,456677,12296,8449,58601,477422,468973,58162
5091,5,551,14,55,3400,94,5094,620,8588,3494,565
5093,5,1009,336,134,4163,990,9909,1479,15062,5153,1345
5101,5,3000,513,203,14484,1469,7093,3716,23046,15953,3513
5107,5,576,132,139,2444,329,3157,847,5930,2773,708
5113,5,440,146,150,2033,544,4789,736,7366,2577,586
5120,5,1503,3247,925,5244,12097,8760,5675,26101,17341,4750
5125,5,474,0,56,1507,0,5507,530,7014,1507,474
5129,5,7254,2154,230,61426,10044,4479,9638,75949,71470,9408
5134,5,565,162,87,2334,490,4572,814,7396,2824,727
5138,5,872,347,355,4729,968,7825,1574,13522,5697,1219
5142,5,536,0,69,2430,0,1523,605,3953,2430,536
5145,5,755,91,15,1941,279,2044,861,4264,2220,846
5147,5,8349,1810,458,31604,6623,7037,10617,45264,38227,10159
5148,5,6044,384,207,32881,1419,19305,6635,53605,34300,6428
5150,5,1059,0,13,2618,0,700,1072,3318,2618,1059
5154,5,17935,1339,406,74013,5309,4810,19680,84132,79322,19274
5172,5,12034,384,508,46533,1243,6240,12926,54016,47776,12418
5190,5,1461,0,38,7688,0,1203,1499,8891,7688,1461
5197,5,1875,172,113,5916,499,8270,2160,14685,6415,2047
5206,5,722,0,44,1752,0,2148,766,3900,1752,722
5209,5,1709,237,91,6804,688,8566,2037,16058,7492,1946
5212,5,7815,212,145,62011,968,13005,8172,75984,62979,8027
5234,5,2433,180,385,8831,696,9536,2998,19063,9527,2613
5237,5,1727,144,37,11025,268,2865,1908,14158,11293,1871
5240,5,624,267,62,1816,1238,7234,953,10288,3054,891
5250,5,8775,2873,826,29419,9505,8344,12474,47268,38924,11648
5264,5,1004,0,60,5088,0,3688,1064,8776,5088,1004
5266,5,17993,519,154,201845,1731,7947,18666,211523,203576,18512
5282,5,1788,328,108,7681,1106,9947,2224,18734,8787,2116
5284,5,2387,413,216,8010,1426,7269,3016,16705,9436,2800
5306,5,178,28,39,1850,273,2932,245,5055,2123,206
5308,5,2365,926,145,27882,6540,13848,3436,48270,34422,3291
5310,5,1475,208,155,4239,539,3433,1838,8211,4778,1683
5313,5,794,103,49,5229,180,3679,946,9088,5409,897
5315,5,601,79,73,2124,379,2932,753,5435,2503,680
5318,5,2820,263,201,17346,972,23695,3284,42013,18318,3083
5321,5,1231,196,28,5207,452,1333,1455,6992,5659,1427
5347,5,791,325,60,2078,671,1953,1176,4702,2749,1116
5353,5,695,0,21,3303,0,1647,716,4950,3303,695
5360,5,27322,3036,57,234847,22498,4130,30415,261475,257345,30358
5361,5,1852,756,347,6502,1945,9951,2955,18398,8447,2608
5364,5,1987,85,200,7064,346,6025,2272,13435,7410,2072
5368,5,1799,54,55,6814,247,3984,1908,11045,7061,1853
5376,5,10340,338,227,51345,1179,6248,10905,58772,52524,10678
5380,5,8259,768,142,57441,3289,6251,9169,66981,60730,9027
5390,5,1634,74,33,7046,421,497,1741,7964,7467,1708
5400,5,2436,228,58,12550,716,7465,2722,20731,13266,2664
5411,5,732,816,126,2207,1813,3872,1674,7892,4020,1548
5425,5,805,180,82,2968,987,3323,1067,7278,3955,985
5440,5,5773,0,68,40810,0,14401,5841,55211,40810,5773
5467,5,480,79,32,1649,171,4061,591,5881,1820,559
5475,5,437,106,141,1553,647,870,684,3070,2200,543
5480,5,1544,939,487,4936,2528,3574,2970,11038,7464,2483
5483,5,729,216,152,2741,591,5267,1097,8599,3332,945
5490,5,2663,3250,956,9936,10487,17109,6869,37532,20423,5913
5495,5,2793,977,488,12960,4097,6743,4258,23800,17057,3770
5501,5,78,365,122,185,929,1605,565,2719,1114,443
5541,5,2522,0,92,10998,0,6989,2614,17987,10998,2522
5543,5,605,156,130,2080,414,4644,891,7138,2494,761
5576,5,1135,0,25,3803,0,3374,1160,7177,3803,1135
5579,5,7641,785,299,30987,2087,2692,8725,35766,33074,8426
5585,5,1467,2128,204,3859,5998,2264,3799,12121,9857,3595
5591,5,889,2897,169,2831,10380,2243,3955,15454,13211,3786
5604,5,2855,1494,699,11105,4125,7221,5048,22451,15230,4349
5607,5,2342,191,216,12168,984,7413,2749,20565,13152,2533
5615,5,14397,971,408,77168,6131,31474,15776,114773,83299,15368
5628,5,688,216,116,2853,784,4170,1020,7807,3637,904
5631,5,5321,1282,71,69953,7914,3730,6674,81597,77867,6603
5642,5,1261,228,108,5809,1592,8301,1597,15702,7401,1489
5647,5,891,0,65,2681,0,3599,956,6280,2681,891
5649,5,1618,344,196,7017,1483,5860,2158,14360,8500,1962
5652,5,836,376,143,2424,550,2248,1355,5222,2974,1212
5656,5,2170,0,105,6494,0,6621,2275,13115,6494,2170
5658,5,611,0,14,2111,0,820,625,2931,2111,611
5659,5,2064,828,197,6624,2710,10641,3089,19975,9334,2892
5660,5,1612,207,102,6613,680,3802,1921,11095,7293,1819
