cod,mpio_name,ADO|EU/LWAL+DNO,CR+PC/LWAL+DUL,CR/LINF+DNO,CR/LINF+DUL,CR/LWAL+DUL,MATO/LN,MCF/LWAL+DNO,MCF/LWAL+DUL,MR/LWAL+DUL,MUR+ST/LWAL+DNO,MUR/LWAL+DNO,UNK,W+WO/LN+DNO,CR/LINF+DUH,CR/LWAL+DUH,MCF/LWAL+DUH,MR/LWAL+DUH,CR/LINF+DUM,CR/LWAL+DUM,MCF/LWAL+DUM,MR/LWAL+DUM
05002,Abejorral,1407,13,0,0,9,1,72,0,0,26,651,461,10,0,0,0,0,0,0,0,0
05004,Abriaquí,31,7,0,0,3,0,23,0,0,9,195,80,12,0,0,0,0,0,0,0,0
05021,Alejandría,27,0,0,0,0,0,37,0,0,20,482,131,7,0,0,0,0,0,0,0,0
05030,Amagá,920,35,0,0,0,7,0,0,0,6,22,677,39,0,0,0,0,0,0,0,0
05031,Amalfi,139,6,0,0,2,6,173,0,0,103,2396,832,312,0,0,0,0,0,0,0,0
05034,Andes,304,7,0,0,0,7,0,0,0,3,12,273,35,0,0,0,0,0,0,0,0
05036,Angelópolis,197,6,0,0,3,1,46,0,0,26,560,115,13,0,0,0,0,0,0,0,0
05038,Angostura,386,4,0,0,6,0,40,0,0,16,356,173,7,0,0,0,0,0,0,0,0
05040,Anorí,75,35,0,0,4,25,94,0,0,62,1336,323,347,0,0,0,0,0,0,0,0
05042,Santafé de Antioquia,1143,34,0,0,27,5,213,0,0,86,2080,1136,39,0,0,0,0,0,0,0,0
05044,Anza,62,7,0,0,1,1,39,0,0,21,504,98,6,0,0,0,0,0,0,0,0
05045,Apartadó,24,38,3455,0,0,30,1182,0,0,229,9209,1431,1881,864,255,2597,0,0,0,0,0
05051,Arboletes,8,8,0,0,4,8,112,0,0,98,1690,491,1627,0,0,0,0,0,0,0,0
05055,Argelia,18,2,0,0,3,1,42,0,0,24,516,174,25,0,0,0,0,0,0,0,0
05059,Armenia,29,4,0,0,1,0,27,0,0,17,367,117,1,0,0,0,0,0,0,0,0
05079,Barbosa,74,7,0,0,0,1,0,0,0,1,7,106,34,0,0,0,0,0,0,0,0
05086,Belmira,172,3,0,0,1,1,26,0,0,14,343,112,2,0,0,0,0,0,0,0,0
05088,Bello,205,231,17766,0,0,26,2812,0,0,192,18080,2471,1583,0,0,0,0,3328,4966,5064,1189
05091,Betania,297,6,0,0,2,0,25,0,0,8,234,45,3,0,0,0,0,0,0,0,0
05093,Betulia,347,9,0,0,10,1,77,0,0,32,766,202,11,0,0,0,0,0,0,0,0
