cod,mpio_name,ADO|EU/LWAL+DNO,CR+PC/LWAL+DUL,CR/LFINF+DUH,CR/LFINF+DUL,CR/LFINF+DUM,CR/LWAL+DUH,CR/LWAL+DUL,CR/LWAL+DUM,MATO/LN,MCF/LWAL+DUH,MCF/LWAL+DUL,MCF/LWAL+DUM,MR/LWAL+DUH,MR/LWAL+DUL,MR/LWAL+DUM,MUR+ST/LWAL+DNO,MUR/LWAL+DNO,UNK,W+WO/LN+DNO
5001,Medellin,,,,,,,,,,,,,,,,,238810,,
5002,Abejorral,1340,13,0,0,0,0,10,0,2,0,71,0,0,0,0,25,627,435,7
5004,Abriaqui,24,6,0,0,0,0,4,0,0,0,21,0,0,0,0,9,169,71,1
5021,Alejandria,26,0,0,0,0,0,1,0,0,0,34,0,0,0,0,19,452,125,3
5030,Amaga,895,34,0,212,0,0,70,0,8,0,530,0,0,0,0,33,2582,622,38
5031,Amalfi,125,4,0,0,0,0,3,0,1,0,167,0,0,0,0,101,2325,786,82
5034,Andes,299,7,0,246,0,0,38,0,3,0,473,0,0,0,0,17,2435,254,27
5036,Angelopolis,192,6,0,0,0,0,4,0,1,0,43,0,0,0,0,24,512,113,9
5038,Angostura,304,3,0,0,0,0,6,0,0,0,39,0,0,0,0,14,331,157,5
5040,Anori,65,34,0,0,0,0,3,0,6,0,91,0,0,0,0,58,1241,243,126
5042,Santafe de Antioquia,1056,30,0,0,0,0,27,0,6,0,209,0,0,0,0,86,2054,1057,37
5044,Anza,37,4,0,0,0,0,2,0,0,0,34,0,0,0,0,19,427,90,4
5045,Apartado,19,34,852,3405,0,253,0,0,30,2706,1222,0,0,0,0,243,9586,1428,1713
5051,Arboletes,6,8,0,0,0,0,4,0,5,0,111,0,0,0,0,97,1688,436,965
5055,Argelia,17,2,0,0,0,0,3,0,1,0,41,0,0,0,0,24,491,170,13
5059,Armenia,29,3,0,0,0,0,1,0,0,0,25,0,0,0,0,15,327,114,1
5079,Barbosa,64,6,0,193,0,0,92,0,2,0,429,0,0,0,0,10,1688,94,33
5086,Belmira,142,3,0,0,0,0,1,0,1,0,26,0,0,0,0,14,323,98,1
5088,Bello,201,231,0,17896,3355,0,0,4976,25,0,2817,5091,0,0,1194,199,18158,2450,1569
5091,Betania,272,6,0,0,0,0,3,0,0,0,23,0,0,0,0,8,209,42,2
5093,Betulia,293,9,0,0,0,0,11,0,0,0,75,0,0,0,0,33,735,181,8
5101,Ciudad Bolivar,963,11,0,0,0,0,15,0,1,0,174,0,0,0,0,73,1895,377,4
5107,Briceno,43,1,0,0,0,0,4,0,2,0,41,0,0,0,0,21,472,118,6
5113,Buritica,270,4,0,0,0,0,3,0,0,0,20,0,0,0,0,7,193,77,12
5120,Caceres,9,8,0,0,0,0,5,0,103,0,163,0,0,0,0,166,2690,814,792
5125,Caicedo,216,4,0,0,0,0,3,0,1,0,16,0,0,0,0,6,145,78,5
5129,Caldas,560,75,529,2823,0,318,0,0,12,873,635,0,183,0,0,50,2873,383,94
5134,Campamento,200,1,0,0,0,0,3,0,1,0,32,0,0,0,0,16,357,115,2
5138,Canasgordas,83,2,0,0,0,0,4,0,4,0,63,0,0,0,0,39,824,193,7
5142,Caracoli,6,0,0,0,0,0,18,0,0,0,68,0,0,0,0,18,374,47,5
5145,Caramanta,374,13,0,0,0,0,6,0,1,0,30,0,0,0,0,12,239,169,2
5147,Carepa,8,14,0,367,0,0,86,0,12,0,1129,0,0,0,0,114,6262,1142,1025
5148,El Carmen de Viboral,99,10,0,325,0,0,27,0,0,0,839,0,0,0,0,13,4569,542,4
5150,Carolina,415,3,0,0,0,0,5,0,1,0,37,0,0,0,0,15,373,209,1
5154,Caucasia,15,28,0,1650,412,0,0,398,138,0,549,2354,0,0,0,231,9168,2225,2106
5172,Chigorodo,28,48,272,1089,0,110,0,0,16,1740,718,0,0,0,0,224,6218,1175,780
5190,Cisneros,247,3,0,0,0,0,7,0,1,0,82,0,0,0,0,37,901,173,10
5197,Cocorna,15,0,0,0,0,0,93,0,0,0,294,0,0,0,0,48,1112,482,3
5206,Concepcion,221,1,0,0,0,0,0,0,0,0,21,0,0,0,0,10,261,207,1
5209,Concordia,233,13,0,0,0,0,3,0,4,0,97,0,0,0,0,61,1328,191,16
5212,Copacabana,830,41,0,1886,354,0,0,142,0,0,450,885,0,0,123,13,3118,177,8
5234,Dabeiba,67,14,0,0,0,0,3,0,7,0,123,0,0,0,0,97,1880,268,154
5237,Don Matias,43,6,0,0,0,0,30,0,0,0,181,0,0,0,0,50,1392,169,0
5240,Ebejico,185,0,0,0,0,0,3,0,0,0,41,0,0,0,0,21,508,131,2
5250,El Bagre,10,16,0,181,0,0,17,0,350,0,967,0,0,0,0,164,6146,2588,1209
5264,Entrerrios,64,2,0,0,0,0,3,0,0,0,66,0,0,0,0,28,764,75,2
5266,Envigado,65,54,0,4434,831,0,0,1134,0,0,1193,2120,0,0,321,9,7547,799,5
5282,Fredonia,399,12,0,0,0,0,3,0,3,0,104,0,0,0,0,49,1291,246,9
5284,Frontino,114,8,0,0,0,0,6,0,1,0,147,0,0,0,0,95,2029,349,51
5306,Giraldo,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,147,34,1
5308,Girardota,39,16,0,289,0,0,10,0,0,0,430,0,0,0,0,7,2367,132,1
5310,Gomez Plata,392,4,0,0,0,0,4,0,0,0,65,0,0,0,0,33,801,382,2
5313,Granada,6,1,0,0,0,0,2,0,0,0,47,0,0,0,0,22,592,193,34
5315,Guadalupe,243,2,0,0,0,0,1,0,1,0,22,0,0,0,0,13,300,96,2
5318,Guarne,35,27,0,0,0,0,33,0,1,0,263,0,0,0,0,84,2398,230,12
5321,Guatape,21,4,0,0,0,0,67,0,0,0,220,0,0,0,0,29,820,266,0
5347,Heliconia,433,2,0,0,0,0,1,0,2,0,27,0,0,0,0,18,365,264,4
5353,Hispania,7,1,0,0,0,0,1,0,0,0,42,0,0,0,0,21,552,71,0
