Municipio,Material Pared,Material Piso,Tipo Vivienda,No. edificaciones,TPER,THOG,Departamento,COD,No. total edificaciones
1,Sin informacion,Sin informacion,Casa,6955,0,0,5,5001,228726
1,Sin informacion,Sin informacion,Apartamento,4359,0,0,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Casa,6206,36567,12225,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Apartamento,3499,42844,16157,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,88825,787123,258217,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,67757,1048919,379341,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida",Alfombra,Casa,41,110,50,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida",Alfombra,Apartamento,29,75,35,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,18790,134071,43171,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,8249,76450,25346,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Casa,171,681,233,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Apartamento,105,952,395,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Casa,108,426,137,5,5001,228726
1,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Apartamento,21,107,53,5,5001,228726
1,Concreto vaciado,"Marmol, parque, madera pulida y lacada",Casa,149,788,246,5,5001,228726
1,Concreto vaciado,"Marmol, parque, madera pulida y lacada",Apartamento,295,2212,885,5,5001,228726
1,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,6867,50898,16935,5,5001,228726
1,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,8820,111147,39616,5,5001,228726
1,Concreto vaciado,Alfombra,Casa,5,20,6,5,5001,228726
1,Concreto vaciado,Alfombra,Apartamento,8,31,8,5,5001,228726
1,Concreto vaciado,"Cemento, gravilla",Casa,960,5360,1771,5,5001,228726
1,Concreto vaciado,"Cemento, gravilla",Apartamento,898,9446,2866,5,5001,228726
1,Concreto vaciado,"Madera burda, tabla, tablon, otro vegetal",Casa,21,83,23,5,5001,228726
1,Concreto vaciado,"Madera burda, tabla, tablon, otro vegetal",Apartamento,16,50,17,5,5001,228726
1,Concreto vaciado,"Tierra, arena, barro",Casa,5,10,5,5,5001,228726
1,Concreto vaciado,"Tierra, arena, barro",Apartamento,3,8,3,5,5001,228726
1,Material prefabricado,"Marmol, parque, madera pulida y lacada",Casa,13,44,16,5,5001,228726
1,Material prefabricado,"Marmol, parque, madera pulida y lacada",Apartamento,3,7,3,5,5001,228726
1,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,928,3760,1289,5,5001,228726
1,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,150,1290,709,5,5001,228726
1,Material prefabricado,"Cemento, gravilla",Casa,419,1728,560,5,5001,228726
1,Material prefabricado,"Cemento, gravilla",Apartamento,78,377,169,5,5001,228726
1,Material prefabricado,"Madera burda, tabla, tablon, otro vegetal",Casa,8,16,8,5,5001,228726
1,Material prefabricado,"Madera burda, tabla, tablon, otro vegetal",Apartamento,3,11,6,5,5001,228726
1,Material prefabricado,"Tierra, arena, barro",Casa,8,26,10,5,5001,228726
1,Material prefabricado,"Tierra, arena, barro",Apartamento,3,7,3,5,5001,228726
1,Guadua,"Marmol, parque, madera pulida y lacada",Casa,1,1,1,5,5001,228726
1,Guadua,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,6,1,5,5001,228726
1,Guadua,"Cemento, gravilla",Casa,1,3,1,5,5001,228726
1,Guadua,"Cemento, gravilla",Apartamento,1,1,1,5,5001,228726
1,Guadua,"Madera burda, tabla, tablon, otro vegetal",Casa,3,5,3,5,5001,228726
1,Guadua,"Tierra, arena, barro",Casa,3,4,3,5,5001,228726
1,"Tapia pisada, bahareque, adobe","Marmol, parque, madera pulida y lacada",Casa,10,32,10,5,5001,228726
1,"Tapia pisada, bahareque, adobe","Marmol, parque, madera pulida y lacada",Apartamento,3,24,14,5,5001,228726
1,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,732,4819,1549,5,5001,228726
1,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,458,4413,1466,5,5001,228726
1,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,429,2435,788,5,5001,228726
