Municipio,Material Pared,Material Piso,Tipo Vivienda,No. edificaciones,TPER,THOG,Departamento,COD,No. total edificaciones
1,Sin informacion,Sin informacion,Casa,91,0.0,0.0,5,5001,928.0
1,Sin informacion,Sin informacion,Apartamento,2,0.0,0.0,5,5001,928.0
1,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Casa,36,138.0,63.0,5,5001,928.0
1,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Apartamento,10,32.0,11.0,5,5001,928.0
1,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,343,11623.0,4033.0,5,5001,928.0
1,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,69,142.0,71.0,5,5001,928.0
1,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,239,7001.0,2395.0,5,5001,928.0
1,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,10,22.0,10.0,5,5001,928.0
1,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Casa,2,6.0,6.0,5,5001,928.0
1,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Apartamento,2,3.0,2.0,5,5001,928.0
1,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Casa,3,32.0,10.0,5,5001,928.0
1,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Apartamento,1,1.0,1.0,5,5001,928.0
1,Concreto vaciado,"Marmol, parque, madera pulida y lacada",Apartamento,5,7.0,5.0,5,5001,928.0
1,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,8,21.0,9.0,5,5001,928.0
1,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,21,40.0,21.0,5,5001,928.0
1,Concreto vaciado,"Cemento, gravilla",Casa,4,23.0,7.0,5,5001,928.0
1,Concreto vaciado,"Cemento, gravilla",Apartamento,6,10.0,6.0,5,5001,928.0
1,Concreto vaciado,"Madera burda, tabla, tablon, otro vegetal",Casa,1,1.0,1.0,5,5001,928.0
1,Concreto vaciado,"Madera burda, tabla, tablon, otro vegetal",Apartamento,1,1.0,1.0,5,5001,928.0
1,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,5,13.0,5.0,5,5001,928.0
1,Material prefabricado,"Cemento, gravilla",Casa,3,11.0,4.0,5,5001,928.0
1,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,3,15.0,4.0,5,5001,928.0
1,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,10,70.0,29.0,5,5001,928.0
1,"Madera burda, tabla, tablon","Marmol, parque, madera pulida y lacada",Casa,1,5.0,2.0,5,5001,928.0
1,"Madera burda, tabla, tablon","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,2,3.0,2.0,5,5001,928.0
1,"Madera burda, tabla, tablon","Cemento, gravilla",Casa,17,151.0,47.0,5,5001,928.0
